url,race
https://www.formula1.com/en/results/2022/races/1124/bahrain/race-result,Bahrain
https://www.formula1.com/en/results/2022/races/1125/saudi-arabia/race-result,Saudi Arabia
https://www.formula1.com/en/results/2022/races/1108/australia/race-result,Australia
https://www.formula1.com/en/results/2022/races/1109/emilia-romagna/race-result,Emilia-Romagna
https://www.formula1.com/en/results/2022/races/1110/miami/race-result,Miami
https://www.formula1.com/en/results/2022/races/1111/spain/race-result,Spain
https://www.formula1.com/en/results/2022/races/1112/monaco/race-result,Monaco
https://www.formula1.com/en/results/2022/races/1126/azerbaijan/race-result,Azerbaijan
https://www.formula1.com/en/results/2022/races/1113/canada/race-result,Canada
https://www.formula1.com/en/results/2022/races/1114/great-britain/race-result,Great Britain
https://www.formula1.com/en/results/2022/races/1115/austria/race-result,Austria
https://www.formula1.com/en/results/2022/races/1116/france/race-result,France
https://www.formula1.com/en/results/2022/races/1117/hungary/race-result,Hungary
https://www.formula1.com/en/results/2022/races/1118/belgium/race-result,Belgium
https://www.formula1.com/en/results/2022/races/1119/netherlands/race-result,Netherlands
https://www.formula1.com/en/results/2022/races/1120/italy/race-result,Italy
https://www.formula1.com/en/results/2022/races/1133/singapore/race-result,Singapore
https://www.formula1.com/en/results/2022/races/1134/japan/race-result,Japan
https://www.formula1.com/en/results/2022/races/1135/united-states/race-result,United States
https://www.formula1.com/en/results/2022/races/1136/mexico/race-result,Mexico
https://www.formula1.com/en/results/2022/races/1137/brazil/race-result,Brazil
https://www.formula1.com/en/results/2022/races/1138/abu-dhabi/race-result,Abu Dhabi
