url,race,status
https://www.formula1.com/en/results/2023/races/1141/bahrain/race-result,Bahrain,
https://www.formula1.com/en/results/2023/races/1142/saudi-arabia/race-result,Saudi Arabia,
https://www.formula1.com/en/results/2023/races/1143/australia/race-result,Australia,
https://www.formula1.com/en/results/2023/races/1207/azerbaijan/race-result,Azerbaijan,
https://www.formula1.com/en/results/2023/races/1208/miami/race-result,Miami,
https://www.formula1.com/en/results/2023/races/1209/emilia-romagna/race-result,Emilia-Romagna,
https://www.formula1.com/en/results/2023/races/1210/monaco/race-result,Monaco,
https://www.formula1.com/en/results/2023/races/1211/spain/race-result,Spain,
https://www.formula1.com/en/results/2023/races/1212/canada/race-result,Canada,
https://www.formula1.com/en/results/2023/races/1213/austria/race-result,Austria,
https://www.formula1.com/en/results/2023/races/1214/great-britain/race-result,Great Britain,
https://www.formula1.com/en/results/2023/races/1215/hungary/race-result,Hungary,
https://www.formula1.com/en/results/2023/races/1216/belgium/race-result,Belgium,
https://www.formula1.com/en/results/2023/races/1217/netherlands/race-result,Netherlands,
https://www.formula1.com/en/results/2023/races/1218/italy/race-result,Italy,
https://www.formula1.com/en/results/2023/races/1219/singapore/race-result,Singapore,
https://www.formula1.com/en/results/2023/races/1220/japan/race-result,Japan,
https://www.formula1.com/en/results/2023/races/1221/qatar/race-result,Qatar,
https://www.formula1.com/en/results/2023/races/1222/united-states/race-result,United States,
https://www.formula1.com/en/results/2023/races/1223/mexico/race-result,Mexico,
https://www.formula1.com/en/results/2023/races/1224/brazil/race-result,Brazil,
https://www.formula1.com/en/results/2023/races/1225/las-vegas/race-result,Las Vegas,
https://www.formula1.com/en/results/2023/races/1226/abu-dhabi/race-result,Abu Dhabi,
